trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint,shape_dist_traveled
1-1,01:16:22,01:16:22,205289,38,0,13122
1-1,01:17:08,01:17:08,2031509,39,0,13331
1-1,01:17:58,01:17:58,206292,40,0,13547
1-1,01:18:34,01:18:34,205019,41,1,13701
1-1,01:19:16,01:19:16,205012,42,0,13889
1-1,01:20:00,01:20:00,205014,43,0,14088
1-1,01:21:04,01:21:04,202994,44,0,14373
1-1,01:22:18,01:22:18,202998,45,0,14702
1-1,01:23:58,01:23:58,206543,46,0,15154
1-1,01:25:02,01:25:02,205247,47,0,15439
1-1,01:26:14,01:26:14,205250,48,0,15755
1-1,01:28:36,01:28:36,2031508,49,0,16392
1-1,01:29:38,01:29:38,2031507,50,0,16666
1-1,01:30:56,01:30:56,2031506,51,1,17012
2-1,00:56:00,00:56:00,205696,1,1,0
2-1,00:58:00,00:58:00,204229,2,0,514
2-1,00:59:08,00:59:08,204191,3,0,803
2-1,01:01:06,01:01:06,205517,4,0,1306
2-1,01:04:12,01:04:12,205528,5,0,2093
2-1,01:07:20,01:07:20,20506,6,0,2886
2-1,01:09:36,01:09:36,20619,7,0,3470
2-1,01:10:26,01:10:26,20614,8,0,3681
2-1,01:11:38,01:11:38,20609,9,0,3982
2-1,01:13:04,01:13:04,20603,10,0,4352
2-1,01:14:48,01:14:48,2029,11,1,4787
2-1,01:15:52,01:15:52,202719,12,0,5068
2-1,01:17:08,01:17:08,202722,13,0,5395
2-1,01:18:44,01:18:44,202733,14,0,5815
2-1,01:19:44,01:19:44,202740,15,0,6071
2-1,01:21:40,01:21:40,203686,16,0,6575
2-1,01:23:18,01:23:18,203687,17,0,7001
2-1,01:24:26,01:24:26,203491,18,0,7295
2-1,01:25:48,01:25:48,207749,19,0,7648
2-1,01:26:44,01:26:44,206298,20,0,7894
2-1,01:27:32,01:27:32,2031515,21,1,8095
2-1,01:28:46,01:28:46,205684,22,0,8430
2-1,01:29:24,01:29:24,2031292,23,0,8605
2-1,01:30:38,01:30:38,203892,24,0,8938
2-1,01:31:28,01:31:28,203889,25,0,9159
2-1,01:32:24,01:32:24,203884,26,0,9407
2-1,01:33:52,01:33:52,201758,27,0,9807
2-1,01:35:04,01:35:04,2031513,28,0,10132
2-1,01:36:14,01:36:14,205676,29,0,10444
2-1,01:38:06,01:38:06,203528,30,0,10945
2-1,01:38:36,01:38:36,2031511,31,1,11076
2-1,01:40:50,01:40:50,205333,32,0,11668
2-1,01:41:42,01:41:42,206365,33,0,11896
2-1,01:42:44,01:42:44,205337,34,0,12166
2-1,01:43:36,01:43:36,206293,35,0,12393
2-1,01:44:36,01:44:36,205338,36,0,12658
2-1,01:45:28,01:45:28,205288,37,0,12885
2-1,01:46:22,01:46:22,205289,38,0,13122
2-1,01:47:08,01:47:08,2031509,39,0,13331
2-1,01:47:58,01:47:58,206292,40,0,13547
2-1,01:48:34,01:48:34,205019,41,1,13701
2-1,01:49:16,01:49:16,205012,42,0,13889
2-1,01:50:00,01:50:00,205014,43,0,14088
2-1,01:51:04,01:51:04,202994,44,0,14373
2-1,01:52:18,01:52:18,202998,45,0,14702
2-1,01:53:58,01:53:58,206543,46,0,15154
2-1,01:55:02,01:55:02,205247,47,0,15439
2-1,01:56:14,01:56:14,205250,48,0,15755
2-1,01:58:36,01:58:36,2031508,49,0,16392
2-1,01:59:38,01:59:38,2031507,50,0,16666
2-1,02:00:56,02:00:56,2031506,51,1,17012
3-1,01:26:00,01:26:00,205696,1,1,0
3-1,01:28:00,01:28:00,204229,2,0,514
3-1,01:29:08,01:29:08,204191,3,0,803
3-1,01:31:06,01:31:06,205517,4,0,1306
3-1,01:34:12,01:34:12,205528,5,0,2093
3-1,01:37:20,01:37:20,20506,6,0,2886
3-1,01:39:36,01:39:36,20619,7,0,3470
3-1,01:40:26,01:40:26,20614,8,0,3681
3-1,01:41:38,01:41:38,20609,9,0,3982
3-1,01:43:04,01:43:04,20603,10,0,4352
3-1,01:44:48,01:44:48,2029,11,1,4787
3-1,01:45:52,01:45:52,202719,12,0,5068
3-1,01:47:08,01:47:08,202722,13,0,5395
3-1,01:48:44,01:48:44,202733,14,0,5815
3-1,01:49:44,01:49:44,202740,15,0,6071
3-1,01:51:40,01:51:40,203686,16,0,6575
3-1,01:53:18,01:53:18,203687,17,0,7001
3-1,01:54:26,01:54:26,203491,18,0,7295
3-1,01:55:48,01:55:48,207749,19,0,7648
3-1,01:56:44,01:56:44,206298,20,0,7894
3-1,01:57:32,01:57:32,2031515,21,1,8095
3-1,01:58:46,01:58:46,205684,22,0,8430
3-1,01:59:24,01:59:24,2031292,23,0,8605
3-1,02:00:38,02:00:38,203892,24,0,8938
3-1,02:01:28,02:01:28,203889,25,0,9159
3-1,02:02:24,02:02:24,203884,26,0,9407
3-1,02:03:52,02:03:52,201758,27,0,9807
3-1,02:05:04,02:05:04,2031513,28,0,10132
3-1,02:06:14,02:06:14,205676,29,0,10444
3-1,02:08:06,02:08:06,203528,30,0,10945
3-1,02:08:36,02:08:36,2031511,31,1,11076
3-1,02:10:50,02:10:50,205333,32,0,11668
3-1,02:11:42,02:11:42,206365,33,0,11896
3-1,02:12:44,02:12:44,205337,34,0,12166
3-1,02:13:36,02:13:36,206293,35,0,12393
3-1,02:14:36,02:14:36,205338,36,0,12658
3-1,02:15:28,02:15:28,205288,37,0,12885
3-1,02:16:22,02:16:22,205289,38,0,13122
3-1,02:17:08,02:17:08,2031509,39,0,13331
3-1,02:17:58,02:17:58,206292,40,0,13547
3-1,02:18:34,02:18:34,205019,41,1,13701
3-1,02:19:16,02:19:16,205012,42,0,13889
3-1,02:20:00,02:20:00,205014,43,0,14088
3-1,02:21:04,02:21:04,202994,44,0,14373
3-1,02:22:18,02:22:18,202998,45,0,14702
3-1,02:23:58,02:23:58,206543,46,0,15154
3-1,02:25:02,02:25:02,205247,47,0,15439
3-1,02:26:14,02:26:14,205250,48,0,15755
3-1,02:28:36,02:28:36,2031508,49,0,16392
3-1,02:29:38,02:29:38,2031507,50,0,16666
3-1,02:30:56,02:30:56,2031506,51,1,17012
4-1,01:32:00,01:32:00,205696,1,1,0
4-1,01:34:00,01:34:00,204229,2,0,514
4-1,01:35:08,01:35:08,204191,3,0,803
4-1,01:37:06,01:37:06,205517,4,0,1306
4-1,01:40:12,01:40:12,205528,5,0,2093
4-1,01:43:20,01:43:20,20506,6,0,2886
4-1,01:45:36,01:45:36,20619,7,0,3470
4-1,01:46:26,01:46:26,20614,8,0,3681
4-1,01:47:38,01:47:38,20609,9,0,3982
4-1,01:49:04,01:49:04,20603,10,0,4352
4-1,01:50:48,01:50:48,2029,11,1,4787
4-1,01:51:52,01:51:52,202719,12,0,5068
4-1,01:53:08,01:53:08,202722,13,0,5395
4-1,01:54:44,01:54:44,202733,14,0,5815
4-1,01:55:44,01:55:44,202740,15,0,6071
4-1,01:57:40,01:57:40,203686,16,0,6575
4-1,01:59:18,01:59:18,203687,17,0,7001
4-1,02:00:26,02:00:26,203491,18,0,7295
4-1,02:01:48,02:01:48,207749,19,0,7648
4-1,02:02:44,02:02:44,206298,20,0,7894
4-1,02:03:32,02:03:32,2031515,21,1,8095
4-1,02:04:46,02:04:46,205684,22,0,8430
4-1,02:05:24,02:05:24,2031292,23,0,8605
4-1,02:06:38,02:06:38,203892,24,0,8938
4-1,02:07:28,02:07:28,203889,25,0,9159
4-1,02:08:24,02:08:24,203884,26,0,9407
4-1,02:09:52,02:09:52,201758,27,0,9807
4-1,02:11:04,02:11:04,2031513,28,0,10132
4-1,02:12:14,02:12:14,205676,29,0,10444
4-1,02:14:06,02:14:06,203528,30,0,10945
4-1,02:14:36,02:14:36,2031511,31,1,11076
4-1,02:16:50,02:16:50,205333,32,0,11668
4-1,02:17:42,02:17:42,206365,33,0,11896
4-1,02:18:44,02:18:44,205337,34,0,12166
4-1,02:19:36,02:19:36,206293,35,0,12393
4-1,02:20:36,02:20:36,205338,36,0,12658
4-1,02:21:28,02:21:28,205288,37,0,12885
4-1,02:22:22,02:22:22,205289,38,0,13122
4-1,02:23:08,02:23:08,2031509,39,0,13331
4-1,02:23:58,02:23:58,206292,40,0,13547
4-1,02:24:34,02:24:34,205019,41,1,13701
4-1,02:25:16,02:25:16,205012,42,0,13889
4-1,02:26:00,02:26:00,205014,43,0,14088
4-1,02:27:04,02:27:04,202994,44,0,14373
4-1,02:28:18,02:28:18,202998,45,0,14702
4-1,02:29:58,02:29:58,206543,46,0,15154
